Experiments,avg_att_prec,avg_att_recall,avg_att_f1,avg_BLEU,avg_ROUGE,cos_sim_num,auotais_yes,auotais_no,valid_autoais,avg_ans_prec,avg_ans_recall,avg_ans_f1,avg_ans_BLEU,ave_ans_ROUGE,cos_sim_ans_num,auotais_ans_yes,auotais_ans_no,valid_autoais_ans
500_top1,0.2260629408018919,0.4726534693889257,0.23699311750130653,0.022283237816085683,0.006535238436753232,176,459,168,627,0.31328327421318963,0.11323856509448196,0.1334359314314095,0.21872720633131243,0.04090916372918998,44,378,180,558
doc2dial_250_top5,0.12452698165377225,0.6913447548368028,0.19685033526903262,0.00365733890977877,0.001539227148601823,248,443,74,517,0.33366962302072034,0.16220954304403987,0.170462450779913,0.19816653848242566,0.038561228353533476,75,345,98,443
doc2dial_500_top5,0.07783040256143076,0.7876333991531037,0.1342339154189038,0.0018154422081704644,0.000828803989540999,285,374,65,439,0.34318469062764134,0.17727699960751475,0.17458583520124057,0.18413675125293713,0.03556411904438666,77,326,81,407
doc2dial_1000_top1_new,0.14073482970792509,0.5894662009366537,0.18402876577721128,0.011583757750919254,0.0035980839959542277,218,440,113,553,0.3101153909654496,0.14106772924048203,0.1478482282247132,0.19480621598872108,0.03722721044907425,54,366,142,508
doc2dial_250_top1,0.2810969976095395,0.33982300020944517,0.2506215612754964,0.03276279584834729,0.009315125293001504,140,499,201,700,0.3020825299602639,0.09184935352377098,0.11834542988048033,0.22011217371673003,0.043247201634523905,34,398,234,632
doc2dial_1000_top1,0.14073482970792509,0.5894662009366537,0.18402876577721128,0.011583757750919254,0.0035980839959542277,218,440,113,553,0.3101153909654496,0.14106772924048203,0.1478482282247132,0.19480621598872108,0.03722721044907425,54,366,142,508
doc2dial_500_top1_new,0.2260629408018919,0.4726534693889257,0.23699311750130653,0.022283237816085683,0.006535238436753232,176,459,168,627,0.31328327421318963,0.11323856509448196,0.1334359314314095,0.21872720633131243,0.04090916372918998,44,378,180,558
doc2dial_250_top1_new,0.2810969976095395,0.33982300020944517,0.2506215612754964,0.03276279584834729,0.009315125293001504,140,499,201,700,0.3020825299602639,0.09184935352377098,0.11834542988048033,0.22011217371673003,0.043247201634523905,34,398,234,632
